TICKET;EMPRESA;SETOR;SEGMENTO;DIV ULT;DIV MEDIO;DIV MEDIANA;PRECO ATUAL;TAXA ULT;TAXA M;TAXA MD
CMIN3;CSN MINERAÇÃO S.A.;Materiais Básicos;Minerais Metálicos;0.47;0.05;0.0;5.22;9.0;0.96;0.0
COCE3;CIA ENERGETICA DO CEARA - COELCE;Utilidade Pública;Energia Elétrica;3.62;1.94;1.93;58.92;6.14;3.29;3.28
COCE5;CIA ENERGETICA DO CEARA - COELCE;Utilidade Pública;Energia Elétrica;3.62;1.94;1.93;48.2;7.51;4.02;4.0
COGN3;COGNA EDUCAÇÃO S.A.;Consumo Cíclico;Serviços Educacionais;0;0.42;0.26;2.51;0.0;16.73;10.36
CORR4;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;Financeiro;Exploração de Imóveis;6.15;0.61;0.0;82;7.5;0.74;0.0
CPFE3;CPFL ENERGIA S.A.;Utilidade Pública;Energia Elétrica;3.7;1.18;0.67;31.93;11.59;3.7;2.1
CPLE3;CIA PARANAENSE DE ENERGIA - COPEL;Utilidade Pública;Energia Elétrica;1.09;0.82;0.56;6.39;17.06;12.83;8.76
CPLE5;CIA PARANAENSE DE ENERGIA - COPEL;Utilidade Pública;Energia Elétrica;1.27;1.19;0.82;22;5.77;5.41;3.73
CPLE6;CIA PARANAENSE DE ENERGIA - COPEL;Utilidade Pública;Energia Elétrica;1.2;0.82;0.53;6.95;17.27;11.8;7.63
CRDE3;CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.;Consumo Cíclico;Incorporações;0;0.42;0.0;21.49;0.0;1.95;0.0
CRFB3;ATACADÃO S.A.;Consumo não Cíclico;Alimentos;1.19;0.21;0.0;17.83;6.67;1.18;0.0
CRIV3;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;Financeiro;Soc. Crédito e Financiamento;0;0.04;0.01;4.49;0.0;0.89;0.22
CRIV4;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;Financeiro;Soc. Crédito e Financiamento;0.45;0.33;0.34;4.9;9.18;6.73;6.94
CRPG3;TRONOX PIGMENTOS DO BRASIL S.A.;Materiais Básicos;Químicos Diversos;5.76;1.09;0.17;41.3;13.95;2.64;0.41
CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.;Materiais Básicos;Químicos Diversos;5.76;1.08;0.17;37.67;15.29;2.87;0.45
CRPG6;TRONOX PIGMENTOS DO BRASIL S.A.;Materiais Básicos;Químicos Diversos;4.04;0.9;0.17;38.8;10.41;2.32;0.44
CSAB3;CIA SEGUROS ALIANCA DA BAHIA;Financeiro;Seguradoras;1.86;3.3;2.6;65;2.86;5.08;4.0
CSAB4;CIA SEGUROS ALIANCA DA BAHIA;Financeiro;Seguradoras;2.05;3.07;2.02;50;4.1;6.14;4.04
CSAN3;COSAN S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;0.63;0.97;0.74;19.74;3.19;4.91;3.75
CSED3;CRUZEIRO DO SUL EDUCACIONAL S.A.;Consumo Cíclico;Serviços Educacionais;0.19;0.02;0.0;3.21;5.92;0.62;0.0
CSMG3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;Utilidade Pública;água e Saneamento;0.8;1.02;0.97;12.48;6.41;8.17;7.77
CSNA3;CIA SIDERURGICA NACIONAL;Materiais Básicos;Siderurgia;1.92;0.72;0.52;19.63;9.78;3.67;2.65
CSRN3;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Utilidade Pública;Energia Elétrica;2.01;0.86;0.89;22.35;8.99;3.85;3.98
