TICKET;EMPRESA;SETOR;SEGMENTO
ESTR3;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;Consumo Cíclico;Brinquedos e Jogos
ESTR4;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;Consumo Cíclico;Brinquedos e Jogos
ETER3;ETERNIT S.A.;Bens Industriais;Produtos para Construção
EUCA3;EUCATEX S.A. INDUSTRIA E COMERCIO;Materiais Básicos;Madeira
EUCA4;EUCATEX S.A. INDUSTRIA E COMERCIO;Materiais Básicos;Madeira
EVEN3;EVEN CONSTRUTORA E INCORPORADORA S.A.;Consumo Cíclico;Incorporações
EZTC3;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Consumo Cíclico;Incorporações
FESA3;CIA FERRO LIGAS DA BAHIA - FERBASA;Materiais Básicos;Siderurgia
FESA4;CIA FERRO LIGAS DA BAHIA - FERBASA;Materiais Básicos;Siderurgia
FHER3;FERTILIZANTES HERINGER S.A.;Materiais Básicos;Fertilizantes e Defensivos
FIGE3;INVESTIMENTOS BEMGE S.A.;Outros;Outros
FIGE4;INVESTIMENTOS BEMGE S.A.;Outros;Outros
FLRY3;FLEURY S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
FNCN3;FINANSINOS S.A.- CREDITO FINANC E INVEST;Financeiro;Soc. Crédito e Financiamento
FRAS3;FRAS-LE S.A.;Bens Industriais;Material Rodoviário
FRIO3;METALFRIO SOLUTIONS S.A.;Bens Industriais;Máq. e Equip. Industriais
FRTA3;POMIFRUTAS S/A;Consumo não Cíclico;Agricultura
GEPA3;RIO PARANAPANEMA ENERGIA S.A.;Utilidade Pública;Energia Elétrica
GEPA4;RIO PARANAPANEMA ENERGIA S.A.;Utilidade Pública;Energia Elétrica
GFSA3;GAFISA S.A.;Consumo Cíclico;Incorporações
GGBR4;GERDAU S.A.;Materiais Básicos;Siderurgia
GGPS3;GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;Bens Industriais;Serviços Diversos
GMAT3;GRUPO MATEUS S.A.;Consumo não Cíclico;Alimentos
GOAU3;METALURGICA GERDAU S.A.;Materiais Básicos;Siderurgia
GOAU4;METALURGICA GERDAU S.A.;Materiais Básicos;Siderurgia
